Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Taxonomic lineage	Taxon mnemonic	Components	Genome assembly ID	Genome representation	interpro_IPR013902_count
UP000000314	Komagataella phaffii (strain GS115 / ATCC 20864) (Yeast) (Pichia pastoris)	644223	5073	C:97.6%[S:97.4%,D:0.1%],F:0.3%,M:2.2%,n:2137	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Pichiomycetes, Pichiales, Pichiaceae, Komagataella, Komagataella phaffii	KOMPG	Chromosome 1; Chromosome 1, Contig 34; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 4, Contig 157	GCA_000027005.1	full	0
UP000000560	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	227321	10561	C:94.2%[S:94.0%,D:0.2%],F:2.0%,M:3.8%,n:4191	Standard	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Aspergillaceae, Aspergillus, Aspergillus subgen. Nidulantes, Emericella nidulans	EMENI	Chromosome I; Chromosome II; Chromosome III; Chromosome IV; Chromosome V; Chromosome VI; Chromosome VII; Chromosome VIII; Mitochondrion	GCA_000011425.1	full	0
UP000000561	Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis)	5270	6805	C:99.4%[S:99.3%,D:0.1%],F:0.2%,M:0.3%,n:1764	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Ustilaginomycotina, Ustilaginomycetes, Ustilaginales, Ustilaginaceae, Mycosarcoma	MYCMD	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Mitochondrion; Unassembled WGS sequence	GCA_000328475.2	full	0
UP000000591	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii)	284811	4760	C:99.5%[S:99.4%,D:0.0%],F:0.1%,M:0.4%,n:2137	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Eremothecium, Eremothecium gossypii	EREGS	Chromosome I; Chromosome II; Chromosome III; Chromosome IV; Chromosome V; Chromosome VI; Chromosome VII; Mitochondrion	GCA_000091025.4	full	0
UP000000598	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	284590	5048	C:96.0%[S:95.8%,D:0.1%],F:0.2%,M:3.8%,n:2137	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Kluyveromyces, Kluyveromyces lactis	KLULA	Chromosome A; Chromosome B; Chromosome C; Chromosome D; Chromosome E; Chromosome F	GCA_000002515.1	full	0
UP000000599	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	284592	6284	C:97.1%[S:96.9%,D:0.1%],F:0.0%,M:2.9%,n:2137	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Pichiomycetes, Serinales, Debaryomycetaceae, Debaryomyces, Debaryomyces hansenii	DEBHA	Chromosome A; Chromosome B; Chromosome C; Chromosome D; Chromosome E; Chromosome F; Chromosome G; Mitochondrion	GCA_000006445.2	full	9
UP000000689	Naumovozyma dairenensis (strain ATCC 10597 / BCRC 20456 / CBS 421 / NBRC 0211 / NRRL Y-12639) (Saccharomyces dairenensis)	1071378	5523	C:99.3%[S:97.1%,D:2.2%],F:0.3%,M:0.4%,n:2137	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Naumovozyma, Naumovozyma dairenensis	NAUDC	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11	GCA_000227115.2	full	0
UP000000707	Candida tenuis (strain ATCC 10573 / BCRC 21748 / CBS 615 / JCM 9827 / NBRC 10315 / NRRL Y-1498 / VKM Y-70) (Yeast) (Yamadazyma tenuis)	590646	6051	C:95.6%[S:74.1%,D:21.4%],F:1.3%,M:3.2%,n:2137	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Pichiomycetes, Serinales, Debaryomycetaceae, Yamadazyma, Candida tenuis	CANTC	Unassembled WGS sequence	GCA_000223465.1	full	0
UP000000709	Spathaspora passalidarum (strain NRRL Y-27907 / 11-Y1)	619300	5973	C:95.3%[S:95.1%,D:0.2%],F:3.9%,M:0.8%,n:2137	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Pichiomycetes, Serinales, Debaryomycetaceae, Spathaspora, Spathaspora passalidarum	SPAPN	Unassembled WGS sequence	GCA_000223485.1	full	1
UP000000724	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255) (Penicillium chrysogenum)	500485	12788	C:97.2%[S:96.8%,D:0.4%],F:0.4%,M:2.4%,n:4191	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Aspergillaceae, Penicillium, Penicillium chrysogenum species complex, Penicillium rubens	PENRW	Contig Pc00c01; Contig Pc00c02; Contig Pc00c03; Contig Pc00c04; Contig Pc00c05; Contig Pc00c06; Contig Pc00c07; Contig Pc00c08; Contig Pc00c09; Contig Pc00c10; Contig Pc00c11; Contig Pc00c12; Contig Pc00c13; Contig Pc00c14; Contig Pc00c15; Contig Pc00c16; Contig Pc00c17; Contig Pc00c18; Contig Pc00c19; Contig Pc00c20; Contig Pc00c21; Contig Pc00c22; Contig Pc00c23; Contig Pc00c24; Contig Pc00c25; Contig Pc00c26; Contig Pc00c27; Contig Pc00c28; Contig Pc00c29; Contig Pc00c30; Contig Pc00c31; Contig Pc00c32; Contig Pc00c33; Contig Pc00c34; Contig Pc00c35; Contig Pc00c36; Contig Pc00c37; Contig Pc00c38; Contig Pc00c39; Contig Pc00c40; Contig Pc00c41; Contig Pc00c42; Contig Pc00c43; Contig Pc00c44; Contig Pc00c45; Contig Pc00c46; Contig Pc00c47; Contig Pc00c48; Contig Pc00c49; Mitochondrion	GCA_000226395.1	full	0
UP000000819	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	284813	2041	C:100.0%[S:99.8%,D:0.2%],F:0.0%,M:0.0%,n:600	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Microsporidia, Apansporoblastina, Unikaryonidae, Encephalitozoon, Encephalitozoon cuniculi	ENCCU	Chromosome I; Chromosome II; Chromosome III; Chromosome IV; Chromosome V; Chromosome VI; Chromosome VII; Chromosome VIII; Chromosome IX; Chromosome X; Chromosome XI	GCA_000091225.2	full	0
UP000001056	Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970) (Soil fungus)	306901	11038	C:85.8%[S:85.6%,D:0.2%],F:7.0%,M:7.2%,n:3817	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Sordariomycetidae, Sordariales, Chaetomiaceae, Chaetomium, Chaetomium globosum	CHAGB	Mitochondrion; Unassembled WGS sequence	GCA_000143365.1	full	0
UP000001067	Pyrenophora teres f. teres (strain 0-1) (Barley net blotch fungus) (Drechslera teres f. teres)	861557	11705	C:97.5%[S:97.1%,D:0.5%],F:1.2%,M:1.3%,n:6641	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, dothideomyceta, Dothideomycetes, Pleosporomycetidae, Pleosporales, Pleosporineae, Pleosporaceae, Pyrenophora, Pyrenophora teres, Pyrenophora teres f. teres	PYRTT	Unassembled WGS sequence	GCA_000166005.1	full	0
UP000001072	Melampsora larici-populina (strain 98AG31 / pathotype 3-4-7) (Poplar leaf rust fungus)	747676	16237	C:91.4%[S:89.1%,D:2.3%],F:3.2%,M:5.4%,n:1764	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Pucciniomycotina, Pucciniomycetes, Pucciniales, Melampsoraceae, Melampsora, Melampsora laricis-populina	MELLP	Unassembled WGS sequence	GCA_000204055.1	full	0
UP000001197	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) (Pleurage anserina)	515849	10657	C:98.1%[S:98.0%,D:0.1%],F:0.7%,M:1.2%,n:3817	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Sordariomycetidae, Sordariales, Podosporaceae, Podospora, Podospora anserina	PODAN	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Mitochondrion			0
UP000001261	Coccidioides immitis (strain RS) (Valley fever fungus)	246410	9712	C:98.7%[S:96.9%,D:1.8%],F:0.4%,M:0.9%,n:4862	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Onygenales, Onygenaceae, Coccidioides, Coccidioides immitis	COCIM	Mitochondrion; Unassembled WGS sequence	GCA_000149335.2	full	0
UP000001294	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	441960	10448	C:97.6%[S:92.5%,D:5.2%],F:0.3%,M:2.1%,n:4191	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Trichocomaceae, Talaromyces, Talaromyces sect. Talaromyces, Talaromyces marneffei	TALMQ	Unassembled WGS sequence; Mitochondrion	GCA_000001985.1	full	0
UP000001300	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	284591	6454	C:92.0%[S:91.5%,D:0.5%],F:1.4%,M:6.6%,n:2137	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Dipodascomycetes, Dipodascales, Dipodascales incertae sedis, Yarrowia, Yarrowia lipolytica	YARLI	Chromosome C; Chromosome D; Chromosome A; Chromosome B; Chromosome E; Chromosome F; Mitochondrion	GCA_000002525.1	full	0
UP000001312	Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1) (White mold) (Whetzelinia sclerotiorum)	665079	14445	C:88.4%[S:88.3%,D:0.0%],F:4.6%,M:7.0%,n:5177	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Leotiomycetes, Helotiales, Sclerotiniaceae, Sclerotinia, Sclerotinia sclerotiorum	SCLS1	Mitochondrion MT; Unassembled WGS sequence	GCA_000146945.2	full	0
UP000001471	Pyrenophora tritici-repentis (strain Pt-1C-BFP) (Wheat tan spot fungus) (Drechslera tritici-repentis)	426418	12062	C:95.5%[S:95.4%,D:0.1%],F:2.5%,M:2.1%,n:6641	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, dothideomyceta, Dothideomycetes, Pleosporomycetidae, Pleosporales, Pleosporineae, Pleosporaceae, Pyrenophora, Pyrenophora tritici-repentis	PYRTR	Mitochondrion; Unassembled WGS sequence	GCA_000149985.1	full	0
UP000001610	Cordyceps militaris (strain CM01) (Caterpillar fungus)	983644	9651	C:95.9%[S:95.7%,D:0.2%],F:0.6%,M:3.6%,n:4494	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Hypocreales, Cordycipitaceae, Cordyceps, Cordyceps militaris	CORMM	Unassembled WGS sequence	GCA_000225605.1	full	0
UP000001611	Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137) (Verticillium wilt)	498257	10529	C:75.7%[S:75.4%,D:0.3%],F:2.0%,M:22.3%,n:6841	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Glomerellales, Plectosphaerellaceae, Verticillium, Verticillium dahliae	VERDV	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Unassembled WGS sequence	GCA_000150675.2	full	0
UP000001628	Paracoccidioides brasiliensis (strain Pb18)	502780	8399	C:96.6%[S:96.6%,D:0.0%],F:0.9%,M:2.4%,n:4862	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Onygenales, Ajellomycetaceae, Paracoccidioides, Paracoccidioides brasiliensis	PARBD	Mitochondrion; Unassembled WGS sequence	GCA_000150735.2	full	0
UP000001631	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	447093	9214	C:96.4%[S:95.7%,D:0.8%],F:1.7%,M:1.9%,n:4862	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Onygenales, Ajellomycetaceae, Histoplasma, Ajellomyces capsulatus	AJECG	Mitochondrion; Unassembled WGS sequence	GCA_000150115.1	full	0
UP000001640	Naumovozyma castellii (Yeast) (Saccharomyces castellii)	27288	5565	C:98.8%[S:96.2%,D:2.6%],F:0.2%,M:1.0%,n:2137	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Naumovozyma	NAUCA	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Mitochondrion	GCA_000237345.1	full	0
UP000001744	Schizosaccharomyces japonicus (strain yFS275 / FY16936) (Fission yeast)	402676	4852	C:81.2%[S:78.3%,D:3.0%],F:2.0%,M:16.8%,n:1706	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, Taphrinomycotina, Schizosaccharomycetes, Schizosaccharomycetales, Schizosaccharomycetaceae, Schizosaccharomyces, Schizosaccharomyces japonicus	SCHJY	Unassembled WGS sequence	GCA_000149845.2	full	0
UP000001745	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	441959	13021	C:97.3%[S:91.7%,D:5.5%],F:0.5%,M:2.3%,n:4191	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Trichocomaceae, Talaromyces, Talaromyces sect. Talaromyces, Talaromyces stipitatus	TALSN	Unassembled WGS sequence; Mitochondrion	GCA_000003125.1	full	0
UP000001798	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	332648	12999	C:99.8%[S:89.7%,D:10.1%],F:0.1%,M:0.1%,n:5177	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Leotiomycetes, Helotiales, Sclerotiniaceae, Botrytis, Botryotinia fuckeliana	BOTFB	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18	GCA_000143535.4	full	0
UP000001805	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	10255	C:99.2%[S:87.5%,D:11.7%],F:0.2%,M:0.5%,n:3817	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Sordariomycetidae, Sordariales, Sordariaceae, Neurospora, Neurospora crassa	NEUCR	Chromosome 1, Linkage Group I; Chromosome 6, Linkage Group II; Chromosome 3, Linkage Group III; Chromosome 4, Linkage Group IV; Chromosome 2, Linkage Group V; Chromosome 5, Linkage Group VI; Chromosome 7, Linkage Group VII; Mitochondrion; Unassembled WGS sequence	GCA_000182925.2	full	0
UP000001861	Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003) (Inky cap fungus) (Hormographiella aspergillata)	240176	13335	C:95.8%[S:95.2%,D:0.6%],F:2.1%,M:2.1%,n:3870	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Agaricales, Agaricineae, Psathyrellaceae, Coprinopsis, Coprinopsis cinerea	COPC7	Unassembled WGS sequence	GCA_000182895.1	full	1
UP000001881	Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell)	771870	9890	C:96.4%[S:96.2%,D:0.2%],F:1.3%,M:2.4%,n:3817	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Sordariomycetidae, Sordariales, Sordariaceae, Sordaria, Sordaria macrospora	SORMK	Unassembled WGS sequence	GCA_000182805.2	full	0
UP000001996	Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239) (Yeast) (Saccharomyces elongisporus)	379508	5779	C:92.7%[S:92.2%,D:0.5%],F:4.6%,M:2.7%,n:2137	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Pichiomycetes, Serinales, Debaryomycetaceae, Candida/Lodderomyces clade, Lodderomyces, Lodderomyces elongisporus	LODEL	Mitochondrion; Unassembled WGS sequence	GCA_000149685.1	full	1
UP000001997	Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324) (Yeast) (Candida guilliermondii)	294746	5919	C:93.1%[S:92.9%,D:0.2%],F:4.4%,M:2.5%,n:2137	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Pichiomycetes, Serinales, Debaryomycetaceae, Meyerozyma, Meyerozyma guilliermondii	PICGU	Unassembled WGS sequence	GCA_000149425.1	full	0
UP000002035	Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) (Microsporum canis)	554155	8764	C:97.8%[S:97.7%,D:0.1%],F:1.2%,M:1.0%,n:4862	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Onygenales, Arthrodermataceae, Microsporum, Arthroderma otae	ARTOC	Mitochondrion; Unassembled WGS sequence	GCA_000151145.1	full	0
UP000002036	Lachancea thermotolerans (strain ATCC 56472 / CBS 6340 / NRRL Y-8284) (Yeast) (Kluyveromyces thermotolerans)	559295	5093	C:99.8%[S:99.7%,D:0.1%],F:0.1%,M:0.1%,n:2137	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Lachancea, Lachancea thermotolerans	LACTC	Chromosome A; Chromosome B; Chromosome C; Chromosome D; Chromosome E; Chromosome F; Chromosome G; Chromosome H; Mitochondrion	GCA_000142805.1	full	0
UP000002037	Candida tropicalis (strain ATCC MYA-3404 / T1) (Yeast)	294747	6226	C:94.6%[S:93.5%,D:1.0%],F:3.2%,M:2.2%,n:2137	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Pichiomycetes, Serinales, Debaryomycetaceae, Candida/Lodderomyces clade, Candida, Candida tropicalis	CANTT	Chromosome MT; Unassembled WGS sequence	GCA_000006335.3	full	1
